rank,company,country,count,sector,value
1,Apple,US,155910412,Technology hardware & equipment,478766.1
2,Exxon Mobil,US,388676,Oil & gas producers,422098.3
3,Microsoft,US,112190699,Software & computer services,340216.8
4,Google,US,334636221,Software & computer services,313003.9
5,Berkshire Hathaway,US,1181546,Nonlife insurance,308090.6
6,Johnson & Johnson,US,#N/A,Pharmaceuticals & biotechnology,277826.2
7,Wells Fargo,US,3839999,Banks,261217.5
8,General Electric,US,3922893,General industrials,259547.3
9,Roche,Switzerland,4146714,Pharmaceuticals & biotechnology,258542.1
10,Wal-Mart Stores,US,#N/A,General retailers,246805.7
11,Nestle,Switzerland,2096947,Food producers,242954.9
12,Royal Dutch Shell,UK,#N/A,Oil & gas producers,238993.5
13,JP Morgan Chase,US,#N/A,Banks,229897.9
14,Novartis,Switzerland,1057809,Pharmaceuticals & biotechnology,229770.4
15,Chevron,US,3779376,Oil & gas producers,227014.7
16,PetroChina,China,53022,Oil & gas producers,220893.7
17,Procter & Gamble,US,#N/A,Household goods & home construction,218539.4
18,Samsung Electronics,South Korea,430741,Leisure goods,208518.6
19,Pfizer,US,1896391,Pharmaceuticals & biotechnology,205359.9
20,IBM,US,29197714,Software & computer services,200447.6
21,Industrial & Commercial Bank of China,China,#N/A,Banks,200179.4
22,Verizon Communications,US,189153,Fixed line telecommunications,196939.7
23,Toyota Motor,Japan,519119,Automobiles & parts,195057.4
24,HSBC,UK,2439542,Banks,191251.3
25,China Mobile,Hong Kong,268991,Mobile telecommunications,184573.4
26,AT&T,US,#N/A,Fixed line telecommunications,182604.1
27,Oracle,US,30471757,Software & computer services,182412.9
28,Bank of America,US,#N/A,Banks,181086.3
29,China Construction Bank,China,#N/A,Banks,174465.7
30,BHP Billiton,Australia/UK,149108,Mining,173490.4
31,Coca-Cola,US,#N/A,Beverages,170331.6
32,Anheuser-Busch InBev,Belgium,#N/A,Beverages,168640.3
33,Merck,US,1894259,Pharmaceuticals & biotechnology,166938.9
34,Total,France,144596645,Oil & gas producers,155984.8
35,Amazon.com,US,#N/A,General retailers,154480.4
36,BP,UK,10267805,Oil & gas producers,147771.1
37,Citigroup,US,1007356,Banks,144627.3
38,Agricultural Bank of China,China,#N/A,Banks,141661.8
